Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Total population - Persons,Total population - Males,Total population - Females,Population attending educational institutions - Persons,Population attending educational institutions - Males,Population attending educational institutions - Females,Type of educational institution - School - Persons,Type of educational institution - School - Males,Type of educational institution - School - Females,Type of educational institution - College - Persons,Type of educational institution - College - Males,Type of educational institution - College - Females,Type of educational institution - Vocational institute - Persons,Type of educational institution - Vocational institute - Males,Type of educational institution - Vocational institute - Females,Type of educational institution - Other institute - Persons,Type of educational institution - Other institute - Males,Type of educational institution - Other institute - Females,Type of educational institution - Literacy centre - Persons,Type of educational institution - Literacy centre - Males,Type of educational institution - Literacy centre - Females,,
C3010,33,2,0,District - Chennai  02,Total,6,64076,32321,31755,44903,22694,22209,44903,22694,22209,0,0,0,0,0,0,0,0,0,0,0,0,,
C3010,33,2,0,District - Chennai  02,Total,7,66028,34140,31888,57203,29619,27584,57203,29619,27584,0,0,0,0,0,0,0,0,0,0,0,0,,
C3010,33,2,0,District - Chennai  02,Total,8,72770,36689,36081,64202,32381,31821,64202,32381,31821,0,0,0,0,0,0,0,0,0,0,0,0,,
C3010,33,2,0,District - Chennai  02,Total,9,61215,30585,30630,54909,27486,27423,54909,27486,27423,0,0,0,0,0,0,0,0,0,0,0,0,,
C3010,33,2,0,District - Chennai  02,Total,10,89809,46543,43266,78037,40386,37651,78037,40386,37651,0,0,0,0,0,0,0,0,0,0,0,0,,
C3010,33,2,0,District - Chennai  02,Total,11,66509,34152,32357,58630,30070,28560,58630,30070,28560,0,0,0,0,0,0,0,0,0,0,0,0,,
C3010,33,2,0,District - Chennai  02,Total,12,80581,41614,38967,68553,35243,33310,68553,35243,33310,0,0,0,0,0,0,0,0,0,0,0,0,,
C3010,33,2,0,District - Chennai  02,Total,13,73958,36759,37199,62433,30885,31548,62433,30885,31548,0,0,0,0,0,0,0,0,0,0,0,0,,
C3010,33,2,0,District - Chennai  02,Total,14,70140,35453,34687,56467,28477,27990,56467,28477,27990,0,0,0,0,0,0,0,0,0,0,0,0,,
C3010,33,2,0,District - Chennai  02,Total,15-19,410863,210259,200604,223625,115529,108096,177337,91165,86172,36242,18217,18025,7962,5096,2866,1990,1004,986,94,47,47,,
C3010,33,2,0,District - Chennai  02,Total,20-24,452191,224627,227564,84146,48532,35614,14816,8019,6797,63088,36600,26488,4485,2951,1534,1594,875,719,163,87,76,,
C3010,33,2,0,District - Chennai  02,Total,25-29,444743,220147,224596,12091,8178,3913,0,0,0,7581,4978,2603,2510,1858,652,1753,1212,541,247,130,117,,
